SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Actual_0,Predicted_0,Quantile_0.05_Timestep_0,Quantile_0.25_Timestep_0,Quantile_0.50_Timestep_0,Quantile_0.75_Timestep_0,Quantile_0.95_Timestep_0,Actual_1,Predicted_1,Quantile_0.05_Timestep_1,Quantile_0.25_Timestep_1,Quantile_0.50_Timestep_1,Quantile_0.75_Timestep_1,Quantile_0.95_Timestep_1,Actual_2,Predicted_2,Quantile_0.05_Timestep_2,Quantile_0.25_Timestep_2,Quantile_0.50_Timestep_2,Quantile_0.75_Timestep_2,Quantile_0.95_Timestep_2,Actual_3,Predicted_3,Quantile_0.05_Timestep_3,Quantile_0.25_Timestep_3,Quantile_0.50_Timestep_3,Quantile_0.75_Timestep_3,Quantile_0.95_Timestep_3,Actual_4,Predicted_4,Quantile_0.05_Timestep_4,Quantile_0.25_Timestep_4,Quantile_0.50_Timestep_4,Quantile_0.75_Timestep_4,Quantile_0.95_Timestep_4
2025,Ethereum,ETH,2021-02-21 23:59:59,1974.25958766,1890.368116,1918.67314966,1935.60106022,23626547717.45,222144116573.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,Ethereum,ETH,2021-02-22 23:59:59,1936.45378227,1580.62655281,1935.55785359,1781.99297558,42409646035.86,204538978050.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,Ethereum,ETH,2021-02-23 23:59:59,1781.40901762,1378.84090738,1781.40901762,1570.20392529,52029864712.8,180251030148.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,Ethereum,ETH,2021-02-24 23:59:59,1710.98379492,1511.01896331,1571.47649661,1626.57570543,31329000537.33,186743952485.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,Ethereum,ETH,2021-02-25 23:59:59,1670.2240615,1465.05894621,1625.39388181,1475.70373513,24481681872.94,169442679395.07,1475.7036,1674.9711,1522.7778,1607.0887,1649.9622,1720.858,1817.9675,1446.0336,1671.807,1448.7181,1602.5438,1650.4436,1729.1836,1877.359,1459.973,1679.2554,1399.525,1578.1821,1664.1261,1762.5271,1941.189,1416.049,1672.9222,1356.8787,1564.6768,1666.4127,1772.835,1968.6256,1564.7076,1695.6753,1328.0073,1543.2231,1663.8823,1815.9342,2053.4219
2030,Ethereum,ETH,2021-02-26 23:59:59,1559.02889087,1407.97925331,1478.6532703,1446.0336503,31435997880.72,166055498546.28,1446.0336,1511.1766,1383.4182,1461.8125,1499.0769,1563.379,1645.9338,1459.973,1517.1913,1324.3525,1459.7902,1498.0151,1566.4521,1706.2614,1416.049,1526.6158,1275.6106,1434.0594,1515.272,1602.2399,1764.8198,1564.7076,1520.599,1238.5796,1429.4177,1513.6505,1604.8724,1788.4624,1492.6088,1539.6963,1213.2306,1408.9536,1513.8579,1647.4199,1864.6459
2031,Ethereum,ETH,2021-02-27 23:59:59,1524.9324277,1433.78692864,1446.92945497,1459.97312093,20742103232.83,167675937684.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,Ethereum,ETH,2021-02-28 23:59:59,1468.39151007,1300.47211681,1459.86043474,1416.0489059,27637026080.32,162650415374.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,Ethereum,ETH,2021-03-01 23:59:59,1567.69455635,1416.41618462,1417.15114276,1564.70764686,24032838645.35,179746905786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,Ethereum,ETH,2021-03-02 23:59:59,1597.61010756,1461.32547995,1564.06342067,1492.60881427,22523669721.96,171484736319.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,Ethereum,ETH,2021-03-03 23:59:59,1650.36055219,1481.90577848,1491.45120512,1575.85312451,22674780680.02,181069778316.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,Ethereum,ETH,2021-03-04 23:59:59,1622.95385381,1511.10343348,1574.62376021,1541.91428551,22906118717.5,177191062441.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,Ethereum,ETH,2021-03-05 23:59:59,1547.8781644,1450.89136228,1541.5417361,1533.27497556,21067146936.62,176219185802.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,Ethereum,ETH,2021-03-06 23:59:59,1669.10656145,1519.1410727,1532.37280668,1654.74151694,22746262366.33,190201808027.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,Ethereum,ETH,2021-03-07 23:59:59,1730.92418047,1636.56443591,1655.39239562,1723.15379607,23809935410.13,198088541069.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,Ethereum,ETH,2021-03-08 23:59:59,1835.19213274,1670.9419727,1724.22924131,1834.72788609,27630991157.89,210939589076.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,Ethereum,ETH,2021-03-09 23:59:59,1868.04878133,1804.26641489,1835.14802583,1868.04878133,23461244507.45,214795762867.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,Ethereum,ETH,2021-03-10 23:59:59,1873.80326208,1766.49047284,1868.48899152,1799.16622355,25154173185.07,206899711010.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,Ethereum,ETH,2021-03-11 23:59:59,1843.8188328,1734.61712528,1798.03393976,1826.19498661,24013132909.37,210032453963.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,Ethereum,ETH,2021-03-12 23:59:59,1839.49727601,1728.9809364,1826.54671296,1772.10247833,22435821312.49,203835039480.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,Ethereum,ETH,2021-03-13 23:59:59,1937.6455334,1733.63989887,1772.1663917,1924.68543997,25014689475.38,221411849362.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,Ethereum,ETH,2021-03-14 23:59:59,1930.77979316,1845.11993973,1923.86374195,1854.56437805,19344589210.88,213370626929.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,Ethereum,ETH,2021-03-15 23:59:59,1889.19662834,1749.60626986,1854.08666944,1791.70230241,26244738809.78,206162475255.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,Ethereum,ETH,2021-03-16 23:59:59,1817.0601581,1720.0532081,1792.41376142,1806.9717631,23828509589.87,207943962561.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,Ethereum,ETH,2021-03-17 23:59:59,1839.81899713,1749.1799726,1807.05620751,1823.44937973,24512917348.17,209864815743.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,Ethereum,ETH,2021-03-18 23:59:59,1848.64605777,1705.7160664,1823.15839711,1782.85512445,23263845503.55,205216840693.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,Ethereum,ETH,2021-03-19 23:59:59,1841.19607365,1746.47335489,1782.56866796,1817.62409241,21249297710.05,209243467429.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,Ethereum,ETH,2021-03-20 23:59:59,1874.70899723,1811.72869569,1817.52273101,1812.63460132,22677674970.21,208693780293.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
